iteration,point_index,petal_length,petal_width,assigned_cluster,center_0_x,center_0_y,center_1_x,center_1_y,center_2_x,center_2_y
0,0,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,1,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,2,1.3,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,3,1.5,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,4,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,5,1.7,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,6,1.4,0.3,1,5.8,2.2,1.4,0.3,4.5,1.5
0,7,1.5,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,8,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,9,1.5,0.1,1,5.8,2.2,1.4,0.3,4.5,1.5
0,10,1.5,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,11,1.6,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,12,1.4,0.1,1,5.8,2.2,1.4,0.3,4.5,1.5
0,13,1.1,0.1,1,5.8,2.2,1.4,0.3,4.5,1.5
0,14,1.2,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,15,1.5,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,16,1.3,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,17,1.4,0.3,1,5.8,2.2,1.4,0.3,4.5,1.5
0,18,1.7,0.3,1,5.8,2.2,1.4,0.3,4.5,1.5
0,19,1.5,0.3,1,5.8,2.2,1.4,0.3,4.5,1.5
0,20,1.7,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,21,1.5,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,22,1.0,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,23,1.7,0.5,1,5.8,2.2,1.4,0.3,4.5,1.5
0,24,1.9,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,25,1.6,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,26,1.6,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,27,1.5,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,28,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,29,1.6,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,30,1.6,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,31,1.5,0.4,1,5.8,2.2,1.4,0.3,4.5,1.5
0,32,1.5,0.1,1,5.8,2.2,1.4,0.3,4.5,1.5
0,33,1.4,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,34,1.5,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,35,1.2,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,36,1.3,0.2,1,5.8,2.2,1.4,0.3,4.5,1.5
0,37,1.4,0.1,1,5.8,2.2,1.4,0.3,4.5,1.5
